crop,country,year,common_name,genus,taxon
Maize,World,2019,34300,16400,16300
Rice (Asian),World,2019,60000,15700,15400
Wheat,World,2019,41700,15000,12700
Soybeans,World,2019,37600,15700,9460
Common bean,World,2019,4700,9870,8220
Physic nut,World,2019,460,11900,7600
Rapeseed and Mustards,World,2019,7000,17500,6940
Grapes,World,2019,15500,9470,6400
Chillies and peppers,World,2019,126,11900,6170
Potatoes,World,2019,23700,16500,6160
Onions,World,2019,9620,12900,4820
Tomatoes,World,2019,29600,16500,4740
Sorghum,World,2019,15800,15800,4550
Cabbages,World,2019,8130,17500,4510
Cabbages and other brassicas,World,2019,8130,17500,4510
Chickpeas,World,2019,8870,4800,4320
Papayas,World,2019,7820,5770,4010
Groundnuts,World,2019,6780,5410,4000
Mango,World,2019,12200,4350,3950
Garlic,World,2019,9180,12900,3830
Peas,World,2019,11100,4490,3810
Cowpeas,World,2019,7300,11300,3800
Barley,World,2019,16100,4600,3790
Cocoa,World,2019,8290,4250,3790
Sunflowers,World,2019,14100,5370,3710
Mung bean,World,2019,1780,11300,3600
Lettuce,World,2019,7890,4470,3570
Cotton,World,2019,25600,5090,3560
Canola,World,2019,6910,17500,3550
Tea,World,2019,29600,6980,3540
Guavas,World,2019,3970,4120,3490
Ginger,World,2019,6720,4490,3440
Pomegranate,World,2019,7160,3710,3250
Alfalfa,World,2019,9260,5870,3230
Cassava,World,2019,13700,4220,3120
Turmeric,World,2019,3610,6360,2990
Cucumbers and gherkins,World,2019,13500,6040,2970
Sweetpotatoes,World,2019,2160,5370,2960
Coffee,World,2019,18000,4870,2940
Faba beans,World,2019,2770,4470,2940
Oil palm,World,2019,17400,3240,2870
Turnips,World,2019,998,17500,2760
Roselle,World,2019,1150,5940,2670
Eggplant,World,2019,3330,16500,2630
Tobacco,World,2019,41600,4900,2620
Okra,World,2019,4790,3180,2610
Basil,World,2019,3840,5830,2600
Sesame,World,2019,6480,2790,2550
"Rubber, natural",World,2019,20400,3020,2440
Castor bean,World,2019,927,3570,2430
Beets,World,2019,8770,44300,2380
Sugar beets,World,2019,6350,44300,2380
Melons,World,2019,6430,6040,2330
Olives,World,2019,17600,3040,2330
Pigeonpeas,World,2019,2810,2430,2240
Oranges,World,2019,16500,22100,2170
Dates,World,2019,17200,7890,2020
Rosemary,World,2019,2960,2140,1980
Quinoa,World,2019,3800,3650,1970
Carrots,World,2019,5220,2170,1940
Apple,World,2019,30600,4280,1930
Avocado,World,2019,2910,2200,1920
Fenugreek,World,2019,2710,2440,1890
Flax,World,2019,4880,2450,1880
Sugarcane,World,2019,17100,3790,1840
Radish,World,2019,2980,2000,1810
Pineapples,World,2019,4950,2300,1800
Beech nut,World,2019,5,2630,1720
Saffron,World,2019,3070,2200,1700
Soursop,World,2019,468,3960,1670
Lolium,World,2019,3190,3190,1660
Safflower,World,2019,3220,1910,1660
Coconuts,World,2019,11500,2750,1640
Coriander,World,2019,1750,1650,1620
Mangosteen,World,2019,1080,3900,1610
Walnuts,World,2019,5910,2530,1590
Prickly pear,World,2019,461,3360,1570
Hemp,World,2019,3770,14600,1500
Oats,World,2019,5590,3170,1480
Leucaena,World,2019,2010,2010,1470
Passionfruit,World,2019,129,3570,1460
Lentils,World,2019,3010,27800,1450
Thyme,World,2019,1890,7820,1430
Zucchini,World,2019,829,3510,1380
Pearl millet,World,2019,3000,3800,1374
Peaches and nectarines,World,2019,8160,8320,1370
Black gram,World,2019,891,11300,1350
Figs,World,2019,4740,7310,1340
Watermelons,World,2019,5140,2440,1330
Fennel,World,2019,1480,1490,1310
Taro,World,2019,1710,1530,1300
Peppermint,World,2019,1180,3980,1290
Oregano,World,2019,1430,2260,1280
Cashews,World,2019,3280,1650,1270
Pepper,World,2019,14800,7370,1200
Tamarind,World,2019,1220,1150,1130
Brachiaria,World,2019,3300,3300,1120
Mandarines,World,2019,74,22100,1070
Sugar apple,World,2019,263,3960,1050
Butternut squash,World,2019,66,3510,1030
Cherries,World,2019,9590,8320,1020
Licorice,World,2019,1460,2110,952
Cumin,World,2019,1770,990,942
Mate,World,2019,8640,2570,931
Jackfruit,World,2019,944,2380,928
Finger millet,World,2019,1600,1210,907
Chicory,World,2019,1060,1090,876
Blueberry,World,2019,5000,3500,866
Velvet bean,World,2019,148,1570,860
Bananas,World,2019,15100,9020,857
Cloves,World,2019,1770,3360,855
Chestnuts,World,2019,4670,1610,850
Spinach,World,2019,3590,845,774
Clovers,World,2019,4480,2720,767
Myrtle,World,2019,667,824,766
Jerusalem artichoke,World,2019,916,5370,758
Hops,World,2019,1660,970,757
Apricot,World,2019,3370,8320,722
Buckwheat,World,2019,3500,1240,719
Celery,World,2019,1240,841,718
Litchi,World,2019,2290,2290,708
Jujube,World,2019,3220,2100,703
Calabash,World,2019,123,825,701
Lemons and limes,World,2019,4150,22100,699
Persimmons,World,2019,2230,1510,699
Perilla,World,2019,1420,1420,698
Cress,World,2019,688,1630,670
Foxtail millet,World,2019,1050,1430,640
Pistachios,World,2019,2540,2160,635
Loquat,World,2019,1770,697,629
Yacon,World,2019,777,706,624
Kenaf,World,2019,3070,5940,615
Dill,World,2019,771,679,615
Hazelnuts,World,2019,1860,956,612
Lavender,World,2019,1870,1520,610
Pears,World,2019,8100,2190,608
Fescue,World,2019,2160,1790,602
Plums,World,2019,4440,8320,594
Asparagus,World,2019,2620,2620,591
Rye,World,2019,3820,782,567
Areca nuts,World,2019,469,1270,563
Jack bean,World,2019,197,905,563
Nutmeg,World,2019,631,851,562
Annato,World,2019,18,582,553
Savory,World,2019,623,1530,543
Pumpkin,World,2019,4070,3510,537
Grasspea,World,2019,108,983,537
Lablab,World,2019,856,856,536
Breadfruit,World,2019,481,2380,530
Durian,World,2019,2010,668,529
Pine nut,World,2019,217,16800,522
Bay leaf,World,2019,124,602,521
Capers,World,2019,347,1010,520
Mulberry,World,2019,6090,3490,509
Brazil nut,World,2019,391,517,507
Dactylis,World,2019,531,531,498
Carambola,World,2019,758,1090,494
Jute,World,2019,3610,851,490
Vetch,World,2019,1300,4470,487
Maca,World,2019,1100,1630,471
Chufa,World,2019,127,2250,470
Artichokes,World,2019,2140,1140,462
Lupins,World,2019,1520,2320,456
Poppies,World,2019,1300,899,453
Currants,World,2019,612,1350,445
Rambutan,World,2019,926,514,443
Lotus,World,2019,6270,6270,435
Carobs,World,2019,762,453,434
Proso millet,World,2019,301,2840,425
Almonds,World,2019,3870,8320,417
Vanilla,World,2019,1470,1470,417
Sago palm,World,2019,254,466,417
Elderberry,World,2019,342,846,413
Anise,World,2019,544,710,412
Lima bean,World,2019,312,9870,411
Yams,World,2019,4290,3880,401
Raspberries,World,2019,7640,3320,399
Bambara bean,World,2019,351,11300,391
Kapok,World,2019,501,953,379
Tree tomato,World,2019,104,16500,366
Mombin,World,2019,415,1040,365
Bamboo shoot,World,2019,375,1100,359
Parsley,World,2019,731,459,359
Chayote,World,2019,233,377,354
Grapefruits,World,2019,1340,22100,352
Karite nuts,World,2019,14,363,352
Amaranth,World,2019,2600,2600,347
Sunn hemp,World,2019,152,1040,345
Longan,World,2019,1380,363,342
Cinnamon,World,2019,2800,2950,339
Quinces,World,2019,1600,406,336
Ethiopian rape,World,2019,8,17500,331
Naranjilla,World,2019,206,16500,328
Ramie,World,2019,1290,415,326
Kiwicha,World,2019,166,2600,325
Strawberry tree,World,2019,158,447,325
Plantains,World,2019,1920,9020,323
Teff,World,2019,588,692,321
"Yautia, cocoyam",World,2019,2,556,320
Carapa,World,2019,416,416,307
Achira,World,2019,90,899,302
Marjoram,World,2019,215,2260,282
Adzuki bean,World,2019,328,11300,277
Wax gourd,World,2019,107,365,277
Caraway,World,2019,371,553,270
Sapodilla,World,2019,117,602,268
Chicle,World,2019,59,602,268
Watercress,World,2019,314,374,268
Cherimoya,World,2019,81,3960,267
Cranberries,World,2019,2030,3500,259
Citronella,World,2019,362,2150,258
Shala tree,World,2019,0,894,256
Citron,World,2019,344,22100,247
Noog,World,2019,1,261,247
Onobrychis,World,2019,588,588,242
Tarragon,World,2019,149,7470,240
Sisal,World,2019,2250,2710,235
Slippery cabbage,World,2019,1,3180,234
Phleum,World,2019,293,293,230
Pecan,World,2019,1200,785,228
Badian,World,2019,23,452,221
Atriplex,World,2019,950,950,218
Adlay,World,2019,173,539,202
Jicama,World,2019,55,284,201
African rice,World,2019,316,15700,200
Asian rice,World,2019,21,295,194
Feijoa,World,2019,280,553,193
Agropyron,World,2019,598,598,192
Jojoba,World,2019,482,195,190
Agrostis,World,2019,449,449,183
Maple sugar,World,2019,409,2820,181
Winged bean,World,2019,151,196,175
Leeks and other alliaceous vegetables,World,2019,605,12900,172
Runner bean,World,2019,89,9870,172
Velvet leaf,World,2019,21,605,167
Lespedeza,World,2019,527,527,163
Snake plant,World,2019,43,461,163
Oca,World,2019,1070,726,158
Acerola,World,2019,690,291,156
Mashua,World,2019,158,433,155
Arrowroot,World,2019,193,237,151
Mahuwa,World,2019,1,411,150
Sesbania,World,2019,1010,1010,148
Pepino,World,2019,1280,16500,145
Rice bean,World,2019,353,11300,138
Ackee,World,2019,84,159,136
Custard apple,World,2019,482,3960,134
Kaniwa,World,2019,7,3650,133
Mamey sapote,World,2019,59,386,133
Macadamia nut,World,2019,150,838,131
Water dropwort,World,2019,71,390,129
Fonio,World,2019,168,657,126
African eggplant,World,2019,49,16500,125
Snake gourd,World,2019,85,647,124
Horseradish,World,2019,1610,144,124
Arracacha,World,2019,157,157,123
Mat bean,World,2019,4,11300,120
Allspice,World,2019,65,1470,111
Sorrel,World,2019,228,1180,110
Caesarweed,World,2019,0,164,110
Esparto,World,2019,79,908,103
Pawpaw,World,2019,390,124,102
Medlar,World,2019,167,115,100
Pueraria,World,2019,1120,1120,97
Cardamoms,World,2019,787,507,95
Tepary bean,World,2019,71,9870,93
Cainito,World,2019,96,343,92
Tung nuts,World,2019,6,118,92
Kodo millet,World,2019,109,1110,90
Tallowtree,World,2019,21,112,90
Andropogon,World,2019,348,348,87
Service tree,World,2019,392,938,86
Fig leaf gourd,World,2019,2,3510,84
West Indian Gherkin,World,2019,7,6040,83
Hedysarum,World,2019,570,570,83
Melilotus,World,2019,401,410,83
Pongamia oil,World,2019,241,1250,82
Centrosema,World,2019,177,177,76
Black nightshade,World,2019,82,16500,74
Kola nuts,World,2019,28,5120,74
Azarole,World,2019,8,1370,74
Ulluco,World,2019,12,78,74
Ceara,World,2019,477,4220,72
Canary seed,World,2019,58,688,71
Cushaw,World,2019,10,3510,69
Parsnip,World,2019,105,122,68
Sword bean,World,2019,45,905,64
Purging croton,World,2019,0,1910,63
Japanese millet,World,2019,44,1080,63
Abaca,World,2019,252,8520,61
Little millet,World,2019,147,2840,56
Guayule,World,2019,189,1490,56
Calopogonium,World,2019,74,74,54
Arrhenatherum,World,2019,63,63,52
Mammee,World,2019,2,118,47
Rhubarb,World,2019,1010,1020,44
Wildrice,World,2019,13,324,41
New Zealand flax,World,2019,13,61,38
Neonotonia,World,2019,43,43,37
Pili nut,World,2019,10,456,33
Black salsify,World,2019,3,220,33
Coronilla,World,2019,85,85,33
Spider plant,World,2019,276,45,33
Albardine,World,2019,0,33,32
Phalaris,World,2019,688,688,31
Salsify,World,2019,26,181,31
Oiticica,World,2019,303,108,31
Stylosanthes,World,2019,534,534,30
Tomatillo,World,2019,68,2570,29
Rhynchosia,World,2019,196,196,28
Macroptilium,World,2019,95,95,28
Gooseberries,World,2019,588,1350,27
New Zealand Spinach,World,2019,32,77,26
Alysicarpus,World,2019,74,74,25
Alopecurus,World,2019,291,291,24
Caroa,World,2019,5,27,24
Ahipa,World,2019,28,284,23
Jelutong,World,2019,23,63,23
Prosopis,World,2019,2570,2570,22
Indigofera,World,2019,891,891,22
Desmodium,World,2019,653,653,22
Salsola,World,2019,437,437,21
Kumquat,World,2019,178,151,19
Candlenut,World,2019,76,241,18
Mauka,World,2019,17,1890,17
Babaco,World,2019,122,202,16
Giant cabuya,World,2019,0,162,16
Pyrethrum,World,2019,408,5290,14
Strawberries,World,2019,11200,3400,14
Ornithopus,World,2019,37,37,14
Chervil,World,2019,28,103,13
Tripsacum,World,2019,76,76,13
Chinotto,World,2019,11,22100,12
Orache,World,2019,8,8,12
Poa,World,2019,1410,1410,11
Crambe,World,2019,904,904,10
Aeschynomene,World,2019,158,158,9
Chontadura,World,2019,0,325,8
Fique,World,2019,401,162,8
Year bean,World,2019,28,9870,7
Carneros Yucca,World,2019,0,1010,7
Astragalus,World,2019,4190,4190,6
Ceylon-spinach,World,2019,9,366,6
Galactia,World,2019,37,37,4
Zornia,World,2019,60,60,3
Gutta-percha,World,2019,812,36,2
Agave,World,2019,2710,2710,1
Kiwi fruit,World,2019,331,1750,1
Butter-nut,World,2019,5,561,1
Huckleberry,World,2019,572,16,1
Atemoya,World,2019,95,3960,0
Triticale,World,2019,476,476,0
Devil's cotton,World,2019,3,51,0
